Date,Open,High,Low,Close,Volume
04/25/2023,"117.55","117.74","115.63","116.52","12,179,830"
04/24/2023,"115.92","118.89","115.88","118.20","15,831,310"
04/21/2023,"116.49","116.88","115.26","116.01","14,315,330"
04/20/2023,"115.13","115.68","113.23","115.64","17,038,750"
04/19/2023,"116.08","116.90","115.77","116.57","10,682,610"
04/18/2023,"114.39","117.21","114.30","116.94","17,436,141"
04/17/2023,"115.49","116.51","114.42","114.70","13,260,350"
04/14/2023,"115.90","116.66","115.12","116.05","11,530,830"
04/13/2023,"114.60","115.89","114.13","115.77","12,399,650"
04/12/2023,"116.16","116.59","114.93","115.23","10,919,020"
04/11/2023,"114.96","116.20","114.38","115.35","11,758,460"
04/10/2023,"114.78","116.18","114.17","114.54","13,006,550"
04/06/2023,"116.86","117.18","114.77","115.05","15,777,960"
04/05/2023,"115.35","117.00","114.31","116.99","16,479,471"
04/04/2023,"116.26","116.70","114.17","115.02","16,365,490"
04/03/2023,"113.39","116.85","113.12","116.13","28,087,680"
03/31/2023,"109.68","110.17","109.05","109.66","14,417,960"
03/30/2023,"109.55","109.57","108.52","109.49","11,578,170"
03/29/2023,"108.06","109.16","107.49","108.96","14,219,120"
03/28/2023,"105.44","107.65","105.19","107.12","11,047,590"
03/27/2023,"104.74","106.48","103.91","105.80","14,805,910"
03/24/2023,"101.47","103.85","100.91","103.53","13,405,810"
03/23/2023,"105.36","106.34","102.44","103.41","14,385,870"
03/22/2023,"106.80","107.18","104.56","104.59","14,952,670"
03/21/2023,"104.17","107.28","104.13","107.04","31,592,311"
03/20/2023,"99.63","102.48","99.50","102.45","32,042,109"
03/17/2023,"100.60","101.61","99.14","99.84","43,199,473"
03/16/2023,"99.11","101.68","98.02","101.03","27,476,131"
03/15/2023,"102.82","104.20","100.22","101.62","25,733,779"
03/14/2023,"106.35","109.01","104.96","106.94","18,263,510"
03/13/2023,"105.34","107.86","103.72","106.54","20,745,631"
03/10/2023,"109.56","111.04","107.15","107.78","15,795,670"
03/09/2023,"110.87","112.23","109.03","109.13","12,961,240"
03/08/2023,"111.23","112.42","109.07","109.98","13,509,820"
03/07/2023,"112.81","113.17","111.17","111.61","11,525,290"
03/06/2023,"111.99","113.84","111.87","113.81","14,347,410"
03/03/2023,"110.05","113.37","109.95","112.81","13,006,710"
03/02/2023,"110.62","111.70","110.17","111.40","10,343,080"
03/01/2023,"109.31","111.86","109.24","110.89","13,199,960"
02/28/2023,"111.24","111.36","109.22","109.91","18,107,029"
02/27/2023,"110.80","111.26","109.96","110.55","11,710,450"
02/24/2023,"109.33","110.96","109.02","110.75","14,351,040"
02/23/2023,"110.73","111.83","109.90","110.74","11,289,400"
02/22/2023,"110.48","110.97","108.64","109.73","13,973,840"
02/21/2023,"110.81","112.38","110.81","111.17","14,469,430"
02/17/2023,"114.19","114.19","110.98","111.28","20,758,330"
02/16/2023,"115.31","116.78","114.80","115.73","11,360,600"
02/15/2023,"115.72","116.09","114.14","116.07","13,673,360"
02/14/2023,"117.01","117.81","116.02","116.42","12,078,990"
02/13/2023,"117.72","118.18","115.90","117.80","14,536,240"
02/10/2023,"116.51","119.63","116.16","119.17","24,918,619"
02/09/2023,"114.62","116.24","114.18","114.35","17,439,311"
02/08/2023,"115.05","115.83","113.85","113.92","18,459,680"
02/07/2023,"112.39","115.31","112.02","114.92","16,013,310"
02/06/2023,"112.36","113.09","110.32","111.73","13,855,210"
02/03/2023,"111.90","114.11","111.56","111.92","20,226,609"
02/02/2023,"114.85","115.07","109.83","111.15","24,562,119"
02/01/2023,"115.83","117.38","113.34","114.74","19,464,869"
01/31/2023,"112.10","116.40","110.43","116.01","27,861,850"
01/30/2023,"115.09","115.49","113.15","113.56","18,672,051"
01/27/2023,"116.95","117.67","115.39","115.61","15,179,210"
01/26/2023,"114.72","117.78","114.34","117.76","21,019,680"
01/25/2023,"113.23","113.65","111.39","113.21","11,914,730"
01/24/2023,"109.16","114.02","104.87","113.81","13,583,030"
01/23/2023,"113.64","114.59","112.64","112.76","16,584,420"
01/20/2023,"111.36","113.44","110.61","113.35","16,515,609"
01/19/2023,"110.07","112.13","109.58","111.32","12,928,020"
01/18/2023,"113.26","114.12","110.40","110.61","16,399,689"
01/17/2023,"113.41","114.08","112.67","112.93","16,542,199"
01/13/2023,"113.11","113.49","112.16","113.15","12,011,360"
01/12/2023,"111.82","113.74","111.74","113.22","15,357,320"
01/11/2023,"110.99","111.45","109.09","111.37","16,710,369"
01/10/2023,"109.79","110.33","108.01","110.09","15,104,600"
01/09/2023,"111.64","111.64","107.81","108.47","17,964,590"
01/06/2023,"110.08","111.99","109.67","110.53","16,348,130"
01/05/2023,"106.34","109.95","106.31","109.21","15,946,560"
01/04/2023,"104.80","107.16","104.76","106.82","18,058,400"
01/03/2023,"109.78","110.02","105.49","106.51","15,146,170"
12/30/2022,"108.61","110.50","108.61","110.30","11,799,640"
12/29/2022,"107.99","109.72","107.99","109.20","10,534,030"
12/28/2022,"109.91","110.00","107.90","108.38","10,702,080"
12/27/2022,"109.27","110.47","108.83","110.19","11,962,060"
12/23/2022,"106.95","108.74","106.90","108.68","11,539,450"
12/22/2022,"107.89","108.19","104.10","105.88","13,215,500"
12/21/2022,"108.29","108.59","107.16","108.06","13,565,370"
12/20/2022,"105.17","107.51","105.07","106.69","14,680,000"
12/19/2022,"105.26","106.20","104.38","105.17","13,611,120"
12/16/2022,"103.69","105.58","103.13","104.70","54,596,621"
12/15/2022,"105.33","106.17","103.70","105.44","15,367,890"
12/14/2022,"107.99","108.30","105.75","106.46","17,597,330"
12/13/2022,"107.80","108.54","107.02","107.25","24,305,350"
12/12/2022,"103.83","106.24","103.59","106.09","20,413,170"
12/09/2022,"104.59","105.95","103.30","103.54","21,298,189"
12/08/2022,"106.28","106.80","103.71","104.42","21,128,760"
